Numero WKF,Nombre del kata,Traduccion del nombre
N/A,Kihon Kata,Forma basica
N/A,Kihon Kata II,Forma basica 2
71,Pinan Nidan,Mente en calma; Prado tranquilo, segundo nivel
70,Pinan Shodan,Mente en calma; Prado tranquilo, primer nivel
72,Pinan Sandan,Mente en calma; Prado tranquilo, tercer nivel
73,Pinan Yondan,Mente en calma; Prado tranquilo, cuarto nivel
74,Pinan Godan,Mente en calma; Prado tranquilo, quinto nivel
17,Gekisaidai ichi,Ataque demoledor numero uno
18,Gekisaidai ni,Ataque demoledor numero dos
38,Jouroku,16 movimientos
56,Naifanchin Shodan,Combatiendo el propio terreno
4,Aoyagui,Sauce verde
6,Bassai dai,Asalto a la fortaleza
75,Rohai,Garza blanca; Simbolo de garza
37,Jitte,Mano del templo; Diez manos
35,Jiin,Patio o suelo del templo
36,Jion,Sonido del templo
57,Naifanchin Nidan,Caballo de hierro
82,Seienchin,Calma en la tempestad
77,Sanchin,Tres batallas
62,Niseshi,24 pasos
45,Kosokun Dai,Mirando al cielo; Mirando al sol
101,Wankan,Viento en el pino
102,Wanshu,Golondrina en vuelo
83,Seipai,18 tazas
46,Kosokun Sho,Mirando el cielo; Contemplando el cielo menor
1,Annan,Nombre de una ciudad china; Paz del sur
2,Annan Dai,Gran paz del sur
8,Chatanyara Kushanku,Combinacion de nombre de dos maestros (Kusanku y Chatan Yara)
9,Chibana no Kushanku,Combinacion de nombre de dos maestros (Kusanku y Chosho Chibana)
43,Kishimono no Kushanku,Combinacion de nombre de dos maestros (Kusanku y Kishimoto)
47,Kururunfa,Vienen se van las olas; 17
64,Ohan Dai,La gran ola
66,Pachu,El dragon danzante con su bola de fuego
68,Papuren,8 pasos a la vez
92,Suparinpei,108 movimientos
